metro_id,Metro,StateID
593,Eugene,38
594,Grants Pass,38
595,Hermiston-Pendleton,38
596,Hood River,38
597,Klamath Falls,38
598,La Grande,38
599,Medford,38
600,Newport,38
601,Ontario,38
602,Portland,38
603,Prineville,38
604,Roseburg,38
605,Salem,38
606,The Dalles,38
607,Allentown,39
608,Altoona,39
609,Bloomsburg,39
610,Bradford,39
611,Chambersburg,39
612,DuBois,39
613,East Stroudsburg,39
614,Erie,39
615,Gettysburg,39
616,Harrisburg,39
617,Indiana,39
618,Lancaster,39
619,Lebanon,39
620,Lewistown,39
621,Lock Haven,39
622,Meadville,39
623,New Castle,39
624,New York,39
625,Philadelphia,39
626,Pittsburgh,39
627,Pottsville,39
628,Reading,39
629,Sayre,39
630,Scranton,39
631,Selinsgrove,39
632,Somerset,39
633,State College,39
634,Sunbury,39
635,Warren,39
636,Williamsport,39
637,York,39
638,Providence,40
639,Augusta,41
640,Charleston,41
641,Charlotte,41
642,Columbia,41
643,Florence,41
644,Gaffney,41
645,Georgetown,41
646,Greenville,41
647,Greenwood,41
648,Hilton Head Island,41
649,Myrtle Beach,41
650,Newberry,41
651,Orangeburg,41
652,Seneca,41
653,Spartanburg,41
654,Sumter,41
655,Brookings,42
656,Huron,42
657,Pierre,42
658,Rapid City,42
659,Sioux City,42
660,Sioux Falls,42
661,Spearfish,42
662,Yankton,42
663,Athens,43
664,Chattanooga,43
665,Clarksville,43
666,Cleveland,43
667,Cookeville,43
668,Crossville,43
669,Dyersburg,43
670,Greeneville,43
671,Jackson,43
672,Johnson City,43
673,Kingsport,43
674,Knoxville,43
675,Martin,43
676,Memphis,43
677,Morristown,43
678,Nashville,43
679,Sevierville,43
680,Shelbyville,43
681,Tullahoma,43
682,Abilene,44
683,Alice,44
684,Amarillo,44
685,Andrews,44
686,Athens,44
687,Austin,44
688,Beaumont,44
689,Big Spring,44
690,Brenham,44
691,Brownsville,44
692,Brownwood,44
693,College Station,44
694,Corpus Christi,44
695,Corsicana,44
